Speech File,Min Pitch,Max Pitch,Mean Pitch,Sd Pitch,Min Intensity,Max Intensity,Mean Intensity,Sd Intensity,Speaking Rate,Jitter,Shimmer,HNR
Happy,118.0352353262380,377.70903168361700,285.3437739553900,58.53578620969150,45.58246515441750,72.59757839697510,68.56831298306120,6.124721587262970,3.3272795330717700,0.013580349280227200,0.05204361342617690,18.947337169685600
Angry,122.59019572201500,346.2659062688410,276.0507241976300,37.70854216900950,49.215515943973600,76.83568584998250,71.52882454330000,6.243467389541320,3.5431675918270900,0.013509482369593500,0.0674029827917054,19.016275422913300
Sad,87.84829934341850,541.571652336148,208.57026855250600,43.31058530908140,43.25354093605920,77.86345061966120,73.33416833449800,7.723493584640780,2.0380434782608700,0.013186876373212800,0.0471523548410299,21.47751070680210
Afraid,202.0535656867550,377.41919618922300,246.89906856152100,35.600722003601700,33.571716481138200,76.01052439189950,68.07191717029030,8.977269160223530,2.1114864864864900,0.014966703433691900,0.05389622184848650,17.397318980559000
Surprised,172.80630932596000,544.871126831608,260.8098416620150,73.27971702426310,40.5607005938886,84.33456112959350,75.94788998137140,8.26275198136284,2.253605769230770,0.01397382748257180,0.07293401271941200,17.60408220945050
Disgusted,95.91367533929670,328.8884798982480,200.64352364014800,36.8009773960746,40.744959726486100,77.71634638709490,69.3156318817029,9.563356885455790,2.1297742439301400,0.02443714676874380,0.09343467960201850,14.261402903868400
Neutral,88.94919347709560,579.4486979355300,200.3677951777640,38.33885134336640,41.357349816725100,79.54596013283600,71.35505036785190,7.206580782149320,2.3965489694839400,0.014161480557409500,0.05753744696631130,16.26894774203180
